Country,Temperature,Year,Continent
 Afghanistan,49.9,2009,Asia
 Bangladesh,45.1,1972,Asia
 Bhutan,40,1997,Asia
 Cambodia,42.6,2016,Asia
 China,50.5,2017,Asia
 Hong Kong,39,2017,Asia
 India,51,2016,Asia
 Indonesia,40.6,1997,Asia
 Iran,54,2017,Asia
 Iraq,53.9,2016,Asia
 Israel,54,1942,Asia
 Japan,41.1,2018,Asia
 Jordan,50,2002,Asia
 Kuwait,53.9,2016,Asia
 Kyrgyzstan,43.6,1944,Asia
 Laos,42.3,2016,Asia
 Macau,39,2017,Asia
 Malaysia,40.1,1998,Asia
 Maldives,34.9,2016,Asia
 Mongolia,44,1999,Asia
 Myanmar,47.2,2010,Asia
   Nepal,46.4,1995,Asia
 Oman,51.6,2021,Asia
 Pakistan,53.7,2017,Asia
 Philippines,42.2,1969,Asia
 Qatar,50.4,2010,Asia
 Russia (Siberia),43.2,1898,Asia
 Saudi Arabia,52,2010,Asia
 Singapore,37,1983,Asia
 South Korea,41,2018,Asia
 Syria,49.4,2000,Asia
 Taiwan,40.2,2020,Asia
 Thailand,44.6,2016,Asia
 Turkey,49.1,2021,Asia
 Turkmenistan,50.1,1983,Asia
 United Arab Emirates,52.1,2002,Asia
 Vietnam,43.4,2019,Asia
